"Number of Hashes","Size/n","False positive"
"1","100","21.875"
"1","200","7.375"
"1","300","7.625"
"1","400","5.5"
"1","500","5.1875"
"1","600","5.1875"
"1","700","5.125"
"1","800","5.125"
"1","900","5.125"
"1","1000","5.125"
"2","100","7.9375"
"2","200","1.25"
"2","300","1.125"
"2","400","0.75"
"2","500","0.375"
"2","600","0.0"
"2","700","0.6875"
"2","800","0.125"
"2","900","0.0"
"2","1000","0.125"
"3","100","7.0625"
"3","200","0.9375"
"3","300","0.875"
"3","400","0.3125"
"3","500","0.25"
"3","600","0.125"
"3","700","0.25"
"3","800","0.0625"
"3","900","0.0"
"3","1000","0.125"
"4","100","6.0625"
"4","200","0.9375"
"4","300","0.75"
"4","400","0.125"
"4","500","0.125"
"4","600","0.125"
"4","700","0.25"
"4","800","0.0625"
"4","900","0.0"
"4","1000","0.0625"
"5","100","7.125"
"5","200","0.5"
"5","300","0.75"
"5","400","0.125"
"5","500","0.0625"
"5","600","0.125"
"5","700","0.1875"
"5","800","0.0625"
"5","900","0.0"
"5","1000","0.0625"
"6","100","10.25"
"6","200","1.6875"
"6","300","1.8125"
"6","400","0.625"
"6","500","0.0625"
"6","600","0.3125"
"6","700","0.3125"
"6","800","0.125"
"6","900","0.0"
"6","1000","0.0"
"7","100","10.3125"
"7","200","1.25"
"7","300","0.875"
"7","400","0.25"
"7","500","0.0"
"7","600","0.0"
"7","700","0.0625"
"7","800","0.0"
"7","900","0.0"
"7","1000","0.0"
"8","100","14.625"
"8","200","2.8125"
"8","300","1.125"
"8","400","0.375"
"8","500","0.0"
"8","600","0.125"
"8","700","0.0625"
"8","800","0.0"
"8","900","0.0"
"8","1000","0.0"
"9","100","18.625"
"9","200","5.25"
"9","300","2.0"
"9","400","1.1875"
"9","500","0.0"
"9","600","0.1875"
"9","700","0.0"
"9","800","0.125"
"9","900","0.0"
"9","1000","0.0"
"10","100","21.9375"
"10","200","6.9375"
"10","300","2.0625"
"10","400","0.875"
"10","500","0.1875"
"10","600","0.125"
"10","700","0.0"
"10","800","0.0625"
"10","900","0.0"
"10","1000","0.0"
