"Number of Hashes","Size/n","False positive"
"1","100","35.3125"
"1","200","20.25"
"1","300","20.8125"
"1","400","11.25"
"1","500","11.125"
"1","600","11.125"
"1","700","11.125"
"1","800","11.125"
"1","900","11.125"
"1","1000","11.125"
"2","100","17.25"
"2","200","6.4375"
"2","300","4.75"
"2","400","1.875"
"2","500","1.8125"
"2","600","0.4375"
"2","700","0.5625"
"2","800","0.3125"
"2","900","0.625"
"2","1000","0.1875"
"3","100","11.1875"
"3","200","2.375"
"3","300","1.5625"
"3","400","0.25"
"3","500","0.6875"
"3","600","0.0"
"3","700","0.5625"
"3","800","0.0"
"3","900","0.0"
"3","1000","0.0"
"4","100","14.6875"
"4","200","5.0"
"4","300","1.1875"
"4","400","0.5"
"4","500","0.5"
"4","600","0.0"
"4","700","0.3125"
"4","800","0.0"
"4","900","0.0"
"4","1000","0.0"
"5","100","12.625"
"5","200","3.6875"
"5","300","0.8125"
"5","400","0.375"
"5","500","0.5625"
"5","600","0.0"
"5","700","0.25"
"5","800","0.0"
"5","900","0.0"
"5","1000","0.0"
"6","100","17.125"
"6","200","4.8125"
"6","300","1.1875"
"6","400","0.5"
"6","500","0.25"
"6","600","0.0625"
"6","700","0.1875"
"6","800","0.0625"
"6","900","0.0625"
"6","1000","0.0"
"7","100","26.625"
"7","200","5.25"
"7","300","2.625"
"7","400","0.4375"
"7","500","0.3125"
"7","600","0.0"
"7","700","0.3125"
"7","800","0.0"
"7","900","0.0625"
"7","1000","0.0"
"8","100","27.9375"
"8","200","5.0625"
"8","300","2.0625"
"8","400","0.5"
"8","500","0.375"
"8","600","0.1875"
"8","700","0.25"
"8","800","0.0"
"8","900","0.0"
"8","1000","0.0"
"9","100","27.1875"
"9","200","4.5625"
"9","300","1.375"
"9","400","0.375"
"9","500","0.25"
"9","600","0.125"
"9","700","0.25"
"9","800","0.0"
"9","900","0.0"
"9","1000","0.0"
"10","100","27.125"
"10","200","4.75"
"10","300","1.1875"
"10","400","0.5"
"10","500","0.25"
"10","600","0.1875"
"10","700","0.0625"
"10","800","0.0625"
"10","900","0.0"
"10","1000","0.0"
