"Number of Hashes","Size/n","False positive"
"1","100","18.5625"
"1","200","9.625"
"1","300","3.25"
"1","400","2.9375"
"1","500","2.4375"
"1","600","2.375"
"1","700","2.3125"
"1","800","2.3125"
"1","900","2.3125"
"1","1000","2.3125"
"2","100","12.4375"
"2","200","5.3125"
"2","300","1.8125"
"2","400","0.9375"
"2","500","0.1875"
"2","600","0.5625"
"2","700","0.3125"
"2","800","0.0625"
"2","900","0.125"
"2","1000","0.0625"
"3","100","14.0625"
"3","200","5.9375"
"3","300","1.25"
"3","400","0.5"
"3","500","0.1875"
"3","600","0.1875"
"3","700","0.5"
"3","800","0.0625"
"3","900","0.0625"
"3","1000","0.0"
"4","100","14.5"
"4","200","5.9375"
"4","300","1.4375"
"4","400","0.5"
"4","500","0.1875"
"4","600","0.1875"
"4","700","0.1875"
"4","800","0.0625"
"4","900","0.0625"
"4","1000","0.0"
"5","100","13.625"
"5","200","3.875"
"5","300","1.1875"
"5","400","0.3125"
"5","500","0.125"
"5","600","0.1875"
"5","700","0.9375"
"5","800","0.0625"
"5","900","0.0"
"5","1000","0.0"
"6","100","16.4375"
"6","200","2.5625"
"6","300","0.875"
"6","400","0.1875"
"6","500","0.125"
"6","600","0.0625"
"6","700","0.3125"
"6","800","0.0"
"6","900","0.0"
"6","1000","0.0"
"7","100","16.8125"
"7","200","2.4375"
"7","300","0.75"
"7","400","0.0625"
"7","500","0.0625"
"7","600","0.0"
"7","700","0.0625"
"7","800","0.0"
"7","900","0.0"
"7","1000","0.0"
"8","100","20.5"
"8","200","3.9375"
"8","300","0.4375"
"8","400","0.0625"
"8","500","0.1875"
"8","600","0.0"
"8","700","0.125"
"8","800","0.0"
"8","900","0.0"
"8","1000","0.0"
"9","100","24.6875"
"9","200","4.9375"
"9","300","1.3125"
"9","400","0.125"
"9","500","0.25"
"9","600","0.0"
"9","700","0.1875"
"9","800","0.0"
"9","900","0.0"
"9","1000","0.0"
"10","100","27.3125"
"10","200","5.8125"
"10","300","1.5"
"10","400","0.375"
"10","500","0.25"
"10","600","0.0"
"10","700","0.125"
"10","800","0.0625"
"10","900","0.0625"
"10","1000","0.0"
