"Number of Hashes","Size/n","False positive"
"1","100","2.1875"
"1","200","1.125"
"1","300","1.0625"
"1","400","1.0"
"1","500","1.0"
"1","600","1.0"
"1","700","1.0"
"1","800","1.0"
"1","900","1.0"
"1","1000","1.0"
"2","100","1.5"
"2","200","0.625"
"2","300","0.1875"
"2","400","0.375"
"2","500","0.25"
"2","600","0.1875"
"2","700","0.125"
"2","800","0.125"
"2","900","0.0"
"2","1000","0.0625"
"3","100","1.25"
"3","200","0.4375"
"3","300","0.125"
"3","400","0.125"
"3","500","0.1875"
"3","600","0.0625"
"3","700","0.0625"
"3","800","0.0"
"3","900","0.0625"
"3","1000","0.0"
"4","100","1.5625"
"4","200","0.5625"
"4","300","0.125"
"4","400","0.25"
"4","500","0.125"
"4","600","0.0625"
"4","700","0.0625"
"4","800","0.125"
"4","900","0.0625"
"4","1000","0.0"
"5","100","1.25"
"5","200","0.5"
"5","300","0.125"
"5","400","0.3125"
"5","500","0.125"
"5","600","0.0625"
"5","700","0.0625"
"5","800","0.125"
"5","900","0.0625"
"5","1000","0.0"
"6","100","1.75"
"6","200","1.0"
"6","300","0.1875"
"6","400","0.25"
"6","500","0.0"
"6","600","0.0625"
"6","700","0.0625"
"6","800","0.0625"
"6","900","0.0625"
"6","1000","0.0"
"7","100","1.75"
"7","200","0.625"
"7","300","0.125"
"7","400","0.125"
"7","500","0.0"
"7","600","0.0"
"7","700","0.0625"
"7","800","0.0625"
"7","900","0.0625"
"7","1000","0.0"
"8","100","1.1875"
"8","200","0.375"
"8","300","0.0"
"8","400","0.0"
"8","500","0.0"
"8","600","0.0"
"8","700","0.0"
"8","800","0.0"
"8","900","0.0"
"8","1000","0.0"
"9","100","1.6875"
"9","200","0.8125"
"9","300","0.0"
"9","400","0.0625"
"9","500","0.0"
"9","600","0.0"
"9","700","0.0"
"9","800","0.0"
"9","900","0.0"
"9","1000","0.0"
"10","100","2.125"
"10","200","0.75"
"10","300","0.0"
"10","400","0.125"
"10","500","0.0"
"10","600","0.0"
"10","700","0.0"
"10","800","0.0"
"10","900","0.0"
"10","1000","0.0"
